playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8480950,2021,Ilya Lyubushkin,TOR,D,other,56,1245.0,23.0,4.1,0.58,0.51,0.24,0.53,0.29,0.51,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,4.0,3.0,12.0,0.0,8.0,3.0,12.0,0.0,0.0,4612.0,2.0,2.0,1.0,3.0,7.38,4.76,4.13,4.76,4.13,5.0,6.0,0.0,11.0,3.0,1.0,1.0,4.0,1.0,6.0,0.12,0.09,4.55,0.0,0.0,3.0,11.0,11.0,11.0,0.08,0.79,0.79,4.05,4.05,3.96,19.02,3.42,2.34,3.42,2.34,17.0,10.0,7.0,34.0,2.0,2.0,0.0,15.0,6.0,6.0,0.7,0.62,2.09,2.0,0.0,0.0,34.0,27.0,27.0,0.45,0.27,0.27,3.6,3.6,2.46,11.14,10.81,104.0,93.0,0.0,0.1,0.0,2.0,0.0,2.0
8480950,2021,Ilya Lyubushkin,TOR,D,all,56,59671.0,1313.0,6.92,0.39,0.48,0.41,0.49,0.41,0.49,256.0,38.02,1.29,2.12,10.43,1.3,23.82,17.06,1.24,1.27,1.22,3.0,7.0,37.0,19.0,20.0,76.0,10.0,0.0,0.0,0.0,9.0,2.0,15.0,30.0,37.0,56.0,15.0,30.0,0.0,121.0,12.0,20.0,55.0,1.0,0.0,1.18,0.1,0.0,0.0,0.0,0.0,74.32,56.0,54.67,16.0,0.42,0.0,0.04,1.66,1.63,1.58,1313.0,81.0,232.0,179.0,821.0,135.0,200.0,154.0,824.0,0.0,0.0,143644.0,30.0,14.0,7.0,70.0,382.04,31.31,30.01,31.41,30.11,365.0,170.0,173.0,708.0,33.0,23.0,4.0,429.0,82.0,24.0,11.97,9.99,9.35,15.0,9.0,9.0,697.53,535.0,530.09,4.91,4.77,4.77,31.45,31.57,31.1,561.83,48.95,46.67,49.6,47.32,588.0,195.0,227.0,1010.0,59.0,43.0,6.0,605.0,130.0,48.0,16.98,15.03,16.95,20.0,18.0,21.0,1033.22,783.0,796.94,9.14,7.63,7.62,50.46,51.15,49.16,108.1,118.2,2122.0,2217.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2021,Ilya Lyubushkin,TOR,D,5on5,56,51009.0,1129.0,6.92,0.46,0.48,0.48,0.48,0.47,0.48,248.0,37.72,1.28,2.05,10.29,1.25,23.41,16.74,1.23,1.26,1.21,3.0,5.0,36.0,19.0,19.0,74.0,8.0,0.0,0.0,0.0,9.0,2.0,14.0,30.0,36.0,55.0,11.0,22.0,0.0,105.0,9.0,18.0,54.0,1.0,0.0,1.17,0.1,0.0,0.0,0.0,0.0,72.32,55.0,53.67,14.0,0.4,0.0,0.04,1.64,1.61,1.56,1129.0,71.0,152.0,167.0,739.0,126.0,161.0,126.0,716.0,0.0,0.0,113928.0,22.0,8.0,4.0,52.0,359.5,25.64,24.97,25.74,25.07,344.0,158.0,170.0,672.0,29.0,22.0,3.0,407.0,77.0,18.0,11.45,9.39,4.8,14.0,9.0,6.0,661.53,502.0,497.09,4.65,3.98,3.98,26.31,26.43,26.06,402.81,29.98,29.24,30.64,29.89,430.0,130.0,173.0,733.0,36.0,26.0,4.0,440.0,96.0,24.0,12.05,11.14,6.8,13.0,15.0,8.0,756.22,560.0,573.94,5.3,5.32,5.31,29.97,30.66,30.17,71.84,77.43,1618.0,1754.0,4.86,0.34,88.0,12.0,72.0,12.0
8480950,2021,Ilya Lyubushkin,TOR,D,4on5,56,7258.0,149.0,6.83,0.05,0.14,0.09,0.14,0.1,0.15,155.0,0.3,0.01,0.07,0.14,0.05,0.41,0.32,0.01,0.01,0.01,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,6.0,0.0,12.0,2.0,2.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.01,0.0,0.0,0.02,0.02,0.02,149.0,4.0,76.0,8.0,61.0,7.0,28.0,23.0,91.0,0.0,0.0,8841.0,6.0,0.0,0.0,0.0,14.5,0.89,0.88,0.89,0.88,15.0,6.0,3.0,24.0,1.0,0.0,0.0,17.0,4.0,0.0,0.37,0.51,0.0,1.0,0.0,0.0,24.0,21.0,21.0,0.17,0.0,0.0,1.06,1.06,1.05,140.0,15.55,15.08,15.55,15.08,141.0,55.0,47.0,243.0,21.0,15.0,2.0,150.0,28.0,18.0,4.23,3.27,8.05,5.0,3.0,13.0,243.0,196.0,196.0,3.39,2.04,2.04,16.9,16.9,16.53,3.4,20.64,41.0,257.0,0.15,0.03,2.0,1.0,2.0,1.0
8480950,2021,Ilya Lyubushkin,TOR,D,5on4,56,159.0,12.0,-0.65,1.0,0.85,1.0,0.8,1.0,0.76,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,1.0,9.0,2.0,3.0,2.0,5.0,0.0,0.0,3685.0,0.0,0.0,0.0,2.0,0.66,0.02,0.02,0.02,0.02,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.01,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.32,0.91,84.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
8474716,2021,Jared Spurgeon,MIN,D,other,43,3930.0,54.0,30.38,0.48,0.38,0.54,0.49,0.55,0.5,78.0,7.99,0.52,0.62,1.82,0.28,6.17,2.59,0.48,0.52,0.48,0.0,1.0,11.0,1.0,6.0,18.0,2.0,1.0,2.0,0.0,2.0,0.0,5.0,2.0,10.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,1.0,0.0,0.44,0.08,0.0,1.0,0.0,0.0,18.0,12.0,12.0,0.0,0.19,0.62,0.0,0.72,0.72,0.66,54.0,20.0,4.0,10.0,20.0,8.0,5.0,11.0,30.0,0.0,0.0,3486.0,0.0,0.0,0.0,11.0,53.7,11.79,11.02,11.79,11.02,61.0,13.0,21.0,95.0,12.0,4.0,0.0,40.0,17.0,17.0,1.64,2.16,8.0,3.0,2.0,7.0,95.0,74.0,74.0,1.24,1.35,1.35,11.68,11.68,11.05,41.4,12.82,11.76,12.82,11.76,44.0,16.0,22.0,82.0,11.0,4.0,0.0,30.0,9.0,21.0,1.08,1.07,10.67,2.0,0.0,9.0,82.0,60.0,60.0,0.82,1.33,1.33,12.31,12.31,11.51,7.15,11.68,74.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
8474716,2021,Jared Spurgeon,MIN,D,all,43,55174.0,1012.0,35.45,0.52,0.45,0.56,0.48,0.57,0.47,106.0,67.17,3.38,4.57,16.35,2.24,44.7,28.75,3.26,3.39,3.26,12.0,8.0,74.0,26.0,52.0,152.0,25.0,5.0,5.0,0.0,19.0,4.0,31.0,36.0,69.0,95.0,5.0,10.0,0.0,30.0,8.0,9.0,93.0,7.0,0.0,2.62,0.76,0.0,4.0,1.0,0.0,151.86,100.0,99.97,5.0,1.04,1.87,0.11,4.31,4.32,4.18,1012.0,172.0,137.0,157.0,546.0,97.0,114.0,156.0,645.0,0.0,0.0,101707.0,10.0,4.0,2.0,58.0,534.64,54.95,52.75,55.48,53.27,557.0,189.0,224.0,970.0,67.0,39.0,8.0,561.0,127.0,58.0,16.82,15.77,22.36,23.0,20.0,24.0,979.24,746.0,751.81,9.11,8.94,8.78,55.28,55.78,54.09,410.84,49.95,47.29,49.73,47.07,419.0,153.0,185.0,757.0,46.0,32.0,6.0,395.0,113.0,64.0,11.39,13.69,24.87,10.0,10.0,26.0,755.06,572.0,570.98,6.7,8.44,8.44,48.21,47.88,46.28,73.87,90.16,1519.0,1659.0,0.0,0.0,0.0,0.0,0.0,0.0
8474716,2021,Jared Spurgeon,MIN,D,5on5,43,38873.0,771.0,35.45,0.55,0.51,0.57,0.5,0.57,0.5,170.0,49.61,2.47,3.13,11.92,1.66,32.08,22.75,2.41,2.48,2.42,6.0,3.0,54.0,20.0,39.0,113.0,13.0,4.0,3.0,0.0,15.0,4.0,18.0,30.0,50.0,70.0,5.0,10.0,0.0,27.0,4.0,6.0,68.0,6.0,0.0,1.8,0.68,0.0,3.0,1.0,0.0,112.86,74.0,73.97,4.0,0.63,1.25,0.11,2.99,3.0,2.94,771.0,86.0,79.0,128.0,478.0,70.0,89.0,115.0,497.0,0.0,0.0,84751.0,10.0,4.0,2.0,39.0,360.17,28.26,27.59,28.79,28.11,366.0,139.0,159.0,664.0,38.0,23.0,6.0,398.0,86.0,21.0,12.09,10.24,5.92,18.0,13.0,7.0,673.24,505.0,510.81,5.0,5.12,4.96,28.31,28.81,28.33,271.16,22.72,21.87,22.5,21.66,267.0,107.0,129.0,503.0,19.0,18.0,1.0,278.0,75.0,21.0,7.7,9.17,5.84,7.0,9.0,3.0,501.06,374.0,372.97,3.79,4.31,4.31,22.19,21.87,21.47,56.31,54.17,1294.0,1283.0,2.44,1.44,54.0,17.0,44.0,13.0
8474716,2021,Jared Spurgeon,MIN,D,4on5,43,5305.0,100.0,32.85,0.07,0.04,0.1,0.1,0.1,0.11,136.0,0.68,0.02,0.03,0.07,0.02,0.21,0.65,0.02,0.02,0.02,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.01,0.0,0.0,0.03,0.03,0.03,100.0,0.0,53.0,11.0,36.0,6.0,14.0,17.0,63.0,0.0,0.0,8158.0,0.0,0.0,0.0,1.0,8.79,1.03,1.01,1.03,1.01,10.0,3.0,3.0,16.0,0.0,0.0,0.0,10.0,2.0,1.0,0.35,0.27,0.41,0.0,0.0,0.0,16.0,13.0,13.0,0.12,0.0,0.0,1.15,1.15,1.12,82.7,13.16,12.43,13.16,12.43,89.0,28.0,33.0,150.0,15.0,10.0,5.0,72.0,25.0,20.0,2.24,3.02,7.9,1.0,1.0,13.0,150.0,117.0,117.0,1.91,2.8,2.8,12.27,12.27,11.89,0.89,20.38,27.0,256.0,0.16,0.1,3.0,2.0,2.0,2.0
8474716,2021,Jared Spurgeon,MIN,D,5on4,43,7066.0,87.0,35.42,0.92,0.75,0.9,0.78,0.88,0.75,50.0,8.89,0.36,0.8,2.55,0.28,6.24,2.77,0.34,0.36,0.34,6.0,4.0,9.0,4.0,7.0,20.0,10.0,0.0,0.0,0.0,2.0,0.0,8.0,3.0,9.0,13.0,0.0,0.0,0.0,1.0,2.0,2.0,13.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,20.0,13.0,13.0,0.0,0.22,0.0,0.0,0.58,0.58,0.55,87.0,66.0,1.0,8.0,12.0,13.0,6.0,13.0,55.0,0.0,0.0,4588.0,0.0,0.0,0.0,7.0,111.99,13.86,13.12,13.86,13.12,120.0,34.0,41.0,195.0,17.0,12.0,2.0,113.0,22.0,19.0,2.74,3.1,8.03,2.0,5.0,10.0,195.0,154.0,154.0,2.74,2.47,2.47,14.14,14.14,13.6,15.58,1.26,1.23,1.26,1.23,19.0,2.0,1.0,22.0,1.0,0.0,0.0,15.0,4.0,2.0,0.37,0.44,0.45,0.0,0.0,1.0,22.0,21.0,21.0,0.18,0.0,0.0,1.44,1.44,1.41,6.54,2.19,108.0,31.0,0.05,0.0,5.0,0.0,3.0,0.0
8474722,2021,Luke Witkowski,DET,D,other,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8474722,2021,Luke Witkowski,DET,D,all,1,558.0,13.0,-0.2,0.29,0.26,0.29,0.42,0.33,0.37,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,3.0,3.0,7.0,1.0,0.0,2.0,10.0,0.0,0.0,3042.0,0.0,2.0,1.0,0.0,2.77,0.19,0.19,0.2,0.2,1.0,3.0,1.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,0.06,0.13,0.0,0.0,0.0,0.0,4.93,4.0,3.92,0.03,0.0,0.0,0.22,0.23,0.23,5.62,0.46,0.46,0.44,0.44,4.0,4.0,4.0,12.0,0.0,0.0,0.0,5.0,3.0,0.0,0.1,0.36,0.0,0.0,0.0,0.0,12.03,8.0,8.04,0.09,0.0,0.0,0.54,0.53,0.53,1.0,2.81,45.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
8474722,2021,Luke Witkowski,DET,D,5on5,1,558.0,13.0,-0.2,0.29,0.28,0.29,0.38,0.33,0.32,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,3.0,3.0,7.0,1.0,0.0,2.0,10.0,0.0,0.0,2510.0,0.0,2.0,1.0,0.0,2.77,0.19,0.19,0.2,0.2,1.0,3.0,1.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,0.06,0.13,0.0,0.0,0.0,0.0,4.93,4.0,3.92,0.03,0.0,0.0,0.22,0.23,0.23,5.62,0.46,0.46,0.44,0.44,4.0,4.0,4.0,12.0,0.0,0.0,0.0,5.0,3.0,0.0,0.1,0.36,0.0,0.0,0.0,0.0,12.03,8.0,8.04,0.09,0.0,0.0,0.54,0.53,0.53,0.78,1.97,35.0,57.0,0.02,0.0,1.0,0.0,1.0,0.0
8474722,2021,Luke Witkowski,DET,D,4on5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8474722,2021,Luke Witkowski,DET,D,5on4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8477404,2021,Jake Guentzel,PIT,L,other,54,3653.0,48.0,45.35,0.54,0.53,0.56,0.41,0.56,0.46,113.0,12.04,5.29,0.81,1.62,0.33,4.86,3.1,5.23,5.29,5.23,2.0,3.0,14.0,2.0,2.0,18.0,11.0,6.0,2.0,0.0,1.0,0.0,4.0,3.0,8.0,10.0,0.0,0.0,1.0,0.0,4.0,1.0,4.0,5.0,7.0,0.11,0.54,4.64,0.0,0.0,6.0,18.0,16.0,16.0,0.0,0.23,0.71,0.28,5.25,5.25,5.22,48.0,13.0,4.0,10.0,21.0,2.0,2.0,15.0,29.0,1.0,1.0,2743.0,0.0,2.0,1.0,2.0,52.67,15.12,14.41,15.12,14.41,56.0,17.0,25.0,98.0,19.0,3.0,2.0,36.0,18.0,19.0,1.58,2.01,11.53,4.0,1.0,14.0,98.0,73.0,73.0,1.15,1.08,1.08,15.19,15.19,14.56,44.26,12.64,12.33,12.64,12.33,41.0,16.0,19.0,76.0,10.0,4.0,1.0,20.0,21.0,16.0,0.83,2.61,9.21,0.0,2.0,8.0,76.0,57.0,57.0,0.9,1.45,1.45,12.1,12.1,11.95,6.3,5.48,48.0,68.0,0.44,0.0,3.0,0.0,2.0,0.0
8477404,2021,Jake Guentzel,PIT,L,all,54,64221.0,1284.0,61.36,0.6,0.48,0.59,0.48,0.58,0.5,121.0,179.19,26.11,15.18,36.57,5.9,95.93,62.31,24.81,26.36,25.04,14.0,17.0,186.0,56.0,54.0,296.0,59.0,28.0,22.0,4.0,31.0,6.0,76.0,80.0,158.0,214.0,16.0,34.0,11.0,50.0,24.0,16.0,134.0,76.0,32.0,5.54,8.96,11.62,7.0,10.0,11.0,299.07,242.0,243.85,3.0,3.51,5.17,3.79,25.83,26.04,25.32,1284.0,316.0,85.0,259.0,624.0,127.0,169.0,212.0,776.0,11.0,10.0,133086.0,34.0,36.0,18.0,29.0,724.21,83.43,78.45,83.82,78.83,738.0,260.0,312.0,1310.0,92.0,65.0,9.0,692.0,221.0,85.0,22.61,26.71,34.11,25.0,37.0,30.0,1318.95,998.0,1003.95,12.88,14.96,14.96,81.34,81.74,79.29,532.32,54.99,53.74,54.91,53.68,552.0,169.0,195.0,916.0,49.0,45.0,4.0,508.0,157.0,56.0,15.62,19.46,19.92,15.0,18.0,16.0,912.03,721.0,718.03,7.6,8.02,7.86,54.74,54.76,54.11,94.6,101.45,1911.0,2034.0,0.0,0.0,0.0,0.0,0.0,0.0
8477404,2021,Jake Guentzel,PIT,L,5on5,54,49784.0,1105.0,61.36,0.53,0.53,0.53,0.52,0.52,0.53,152.0,119.79,14.13,9.3,25.48,3.86,64.0,45.24,13.27,14.38,13.51,9.0,6.0,127.0,35.0,41.0,203.0,32.0,17.0,11.0,2.0,21.0,4.0,48.0,62.0,110.0,145.0,14.0,30.0,7.0,49.0,18.0,13.0,100.0,47.0,15.0,4.45,5.62,4.07,7.0,8.0,2.0,206.07,162.0,163.85,3.0,1.96,2.4,2.2,13.9,14.11,13.75,1105.0,201.0,78.0,240.0,586.0,109.0,156.0,161.0,679.0,7.0,8.0,113529.0,30.0,32.0,16.0,25.0,467.2,42.1,40.36,42.5,40.74,475.0,173.0,207.0,855.0,43.0,35.0,5.0,491.0,120.0,37.0,16.59,14.8,10.71,17.0,20.0,6.0,863.95,648.0,653.95,6.78,8.54,8.54,40.33,40.73,39.96,440.28,36.82,35.97,36.74,35.9,462.0,140.0,170.0,772.0,34.0,40.0,3.0,450.0,121.0,31.0,13.51,14.98,8.33,14.0,14.0,6.0,768.03,602.0,599.03,6.08,6.33,6.18,36.73,36.76,36.32,77.38,69.48,1696.0,1597.0,1.27,1.73,26.0,27.0,22.0,26.0
